subNo,ageYrs,ageYrsRound,sex,grassSky_sum,upDown_sum,vocab_sum,divDes_a1_peWcontrol,divDes_b12_peWcontrol,divDes_c5_peWcontrol,divDes_a9_peWcontrol,divDes_c1_peWcontrol,divDes_b10_peWcontrol,divBel_a3_peWcontrol,divBel_b7_peWcontrol,divBel_a6_peWcontrol,divBel_c8_peWcontrol,trueBel_a7_peWcontrol,trueBel_b1_peWcontrol,trueBel_c12_peWcontrol,falseBelContents_a8_peWcontrol,falseBelContents_b3_peWcontrol,falseBelContents_c4_peWcontrol,falseBelLocation_a10_peWcontrol,falseBelLocation_b11_peWcontrol,falseBelLocation_c6_peWcontrol,falseSign_a5_peWcontrol,falseSign_a13_peWcontrol,falseSign_b4_peWcontrol,falseSign_b8_peWcontrol,falseSign_c2_peWcontrol,falseSign_c9_peWcontrol,vpt1_a11_peWcontrol,vpt1_a2_peWcontrol,vpt1_b2_peWcontrol,vpt1_b5_peWcontrol,vpt2_c7_peWcontrol,vpt2_c11_peWcontrol,knowAcc_a12_peWcontrol,knowAcc_b6_peWcontrol,knowAcc_c3_peWcontrol,knowExpert_a4_peWcontrol,knowExpert_b9_peWcontrol,knowExpert_c10_peWcontrol,divDesAvg,divBelAvg,knowAvg,vptAvg,falseBelAvg,falseSignAvg,divDes_a1_pWcontrol,divDes_b12_pWcontrol,divDes_c5_pWcontrol,divDes_a9_pWcontrol,divDes_c1_pWcontrol,divDes_b10_pWcontrol,divBel_a3_pWcontrol,divBel_b7_pWcontrol,divBel_a6_pWcontrol,divBel_c8_pWcontrol,trueBel_a7_pWcontrol,trueBel_b1_pWcontrol,trueBel_c12_pWcontrol,falseBelContents_a8_pWcontrol,falseBelContents_b3_pWcontrol,falseBelContents_c4_pWcontrol,falseBelLocation_a10_pWcontrol,falseBelLocation_b11_pWcontrol,falseBelLocation_c6_pWcontrol,falseSign_a5_pWcontrol,falseSign_a13_pWcontrol,falseSign_b4_pWcontrol,falseSign_b8_pWcontrol,falseSign_c2_pWcontrol,falseSign_c9_pWcontrol,vpt1_a11_pWcontrol,vpt1_a2_pWcontrol,vpt1_b2_pWcontrol,vpt1_b5_pWcontrol,vpt2_c7_pWcontrol,vpt2_c11_pWcontrol,knowAcc_a12_pWcontrol,knowAcc_b6_pWcontrol,knowAcc_c3_pWcontrol,knowExpert_a4_pWcontrol,knowExpert_b9_pWcontrol,knowExpert_c10_pWcontrol
246,4.295890411,4,M,3,17,7,2,2,2,2,2,2,2,0,2,2,0,1,0,2,2,2,2,2,2,1,2,1,0,2,2,2,1,1,2,0,0,1,2,2,1,1,1,2,1.5,1.333333333,1,2,1.333333333,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
247,4.528767123,4,M,5,46,11,1,2,0,1,1,2,0,0,1,1,1,0,2,2,0,1,2,2,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1.166666667,0.5,0.833333333,0.5,1.333333333,0.5,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0
248,4.33,4,M,NA,0,7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0.333333333,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
250,6.709589041,6,M,16,58,27,2,2,1,2,2,2,2,2,1,1,1,0,0,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,0,2,2,2,2,1,2,1.833333333,1.5,1.833333333,1.333333333,1.833333333,1.666666667,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
251,6.638356164,6,M,15,60,22,2,2,2,0,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,0,1,2,2,2,0,2,1.666666667,2,1.5,1.5,1.333333333,1.833333333,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
253,6.260273973,6,M,NA,60,NA,2,2,2,0,2,0,2,2,2,2,0,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,1,2,1.333333333,2,1.833333333,1.333333333,1.833333333,2,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
254,7.476712329,7,F,14,53,35,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,0,2,2,2,1,1,1,2,2,1,1,1,0,2,2,2,2,2,2,2,1.75,2,1.166666667,1.333333333,1.5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
255,7.468493151,7,F,NA,55,23,2,2,2,2,2,2,2,2,0,2,0,0,2,1,2,1,1,2,2,1,1,1,0,1,1,2,1,1,2,0,0,1,1,2,1,1,1,2,1.5,1.166666667,1,1.5,0.833333333,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
256,6.501369863,6,M,2,60,18,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,0,0,1,2,2,2,2,1,2,1.75,1.666666667,1.166666667,1.5,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
257,4.709589041,4,M,15,46,16,0,1,2,2,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,1.166666667,0.5,0.333333333,0.833333333,0,0.333333333,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
